"","...1","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"20","chr7-5275576-5277042",1.76502555190466e-30,-1.91321103537858,0.103,0.341,5.24637960073692e-25
"21","chr9-80040197-80040804",3.98752703803691e-30,-4.57079986561967,0.005,0.101,1.18525652431313e-24
"22","chr17-6118402-6119791",4.95391206292703e-30,-2.91260801930059,0.028,0.192,1.47250577549649e-24
"23","chr7-150954745-150956496",9.92527410306638e-30,-1.78427624899632,0.118,0.345,2.95019839966955e-24
"24","chrX-30888500-30889856",1.02997357111318e-29,0.657223077645421,0.502,0.351,3.06150374251253e-24
"25","chr1-111793636-111794584",2.50603816534784e-28,-2.47615932846043,0.04,0.218,7.44897290306158e-23
"26","chr2-98346062-98348601",2.51855065754411e-28,-1.45996568164909,0.221,0.497,7.48616515999068e-23
"27","chrX-135520377-135522222",3.14141070086902e-28,0.676874916607854,0.462,0.332,9.33756058137007e-23
"28","chr8-127645643-127646552",3.4983926489293e-28,-2.19627479697034,0.06,0.248,1.03986572936039e-22
"29","chr16-57427269-57428147",3.79362090265651e-28,-2.50436206110562,0.039,0.213,1.12761967072652e-22
"30","chr15-100765929-100767017",4.97864141877941e-28,-2.24904827813319,0.057,0.236,1.47985635395941e-22
"31","chr12-51873765-51874565",1.24621313972598e-27,-2.38474061875481,0.046,0.213,3.7042563986529e-22
"32","chr2-130834926-130835731",2.79607368817908e-27,-2.82392221571682,0.027,0.182,8.31107739148038e-22
"33","chr7-5284444-5285318",1.85601421698769e-26,-2.25573676349576,0.055,0.237,5.51683521871639e-21
"34","chr1-172486908-172488084",2.42330840402931e-26,-2.17527787497486,0.06,0.239,7.20306613322076e-21
"35","chr16-51150421-51153160",1.62027495033841e-25,-1.46084464576692,0.225,0.489,4.81612146513539e-20
"36","chr1-180229070-180230795",2.16672382527207e-25,-1.43586819894267,0.224,0.515,6.44039156547695e-20
"37","chr4-128482807-128483509",2.74951528690688e-25,-2.65767955467991,0.029,0.169,8.17268673395489e-20
"38","chr12-78974964-78975938",2.86048797881089e-25,-3.30733598810597,0.015,0.13,8.50254307309727e-20
"39","chr14-60169610-60170287",4.41086009761342e-25,-2.02952572045188,0.071,0.252,1.31108846627471e-19
"40","chr5-136396704-136397258",4.79147127457477e-25,-2.80476058242843,0.021,0.132,1.42422171312588e-19
"41","chr10-93614018-93614473",6.42716484230372e-25,-2.61955563126684,0.029,0.158,1.9104169048912e-19
"42","chr5-135543107-135544295",1.05468408322233e-24,-1.78867985942863,0.099,0.294,3.1349535158109e-19
"43","chr18-61898642-61899159",1.20460416328637e-24,-2.966274901143,0.022,0.156,3.58057746099404e-19
"44","chr5-135478709-135479324",1.24409914609568e-24,-2.64076727182958,0.029,0.178,3.69797274284625e-19
"45","chr3-54120968-54122892",1.60287968125125e-24,-1.61890120607453,0.143,0.368,4.76441559334802e-19
"46","chr1-25952741-25953633",1.83005410586689e-24,-2.85298463836142,0.025,0.158,5.43967112481981e-19
"47","chr2-26883966-26885095",4.33701064576469e-24,-1.89004386790843,0.086,0.285,1.28913738135774e-18
"48","chrX-136908803-136910545",5.16935400355354e-24,0.726180571835603,0.346,0.232,1.53654395337026e-18
"49","chr6-147507346-147509377",6.39343880470899e-24,-1.79296334168829,0.096,0.289,1.90039214375051e-18
"50","chr10-70926945-70927594",1.0486578880778e-23,-2.49277622965848,0.033,0.171,3.11704119310135e-18
"51","chr2-98376110-98377344",1.42175344045711e-23,-1.98027359509021,0.07,0.25,4.22603414394912e-18
"52","chr10-93611989-93613077",1.57380916642471e-23,-2.14028895573534,0.056,0.218,4.67800610437247e-18
"53","chr17-80518631-80519769",2.95674000579691e-23,-1.90730555986113,0.08,0.271,8.78864356063079e-18
"54","chr1-37763682-37766364",3.21305929969314e-23,-1.71919680313364,0.125,0.35,9.55052959300088e-18
"55","chr8-127734884-127736432",5.11748748797456e-23,-2.32801917797807,0.048,0.202,1.52112709841305e-17
"56","chr1-37725853-37727428",5.41823500594728e-23,-1.53708617511403,0.142,0.35,1.61052159140277e-17
"57","chr7-100395148-100395471",5.95988125620968e-23,-2.94559407458559,0.016,0.121,1.77152106447702e-17
"58","chr1-6397043-6398171",1.41700252527075e-22,-3.15006782088726,0.013,0.121,4.21191247614002e-17
"59","chrX-10175908-10176900",3.09014473792481e-22,-2.68732141564107,0.025,0.141,9.18517712045509e-17
"60","chr5-160311534-160312923",3.65356421892561e-22,-1.65647284787265,0.119,0.332,1.08598908199767e-16
"61","chr5-135482210-135483075",4.77164584217788e-22,-2.82678699202096,0.022,0.147,1.4183287817748e-16
"62","chr14-34337807-34338503",4.81418691969626e-22,-2.37520353467277,0.031,0.163,1.43097373419744e-16
"63","chr16-85451769-85452481",7.20449800216825e-22,-2.44767910953299,0.032,0.171,2.14147219066249e-16
"64","chrX-47365934-47366546",7.68089165522535e-22,-2.89315549226509,0.018,0.135,2.28307591649084e-16
"65","chr1-111988972-111991696",9.10598036302204e-22,-1.855225843679,0.101,0.291,2.70667070908504e-16
"66","chr17-1554276-1555479",8.4241122445727e-21,-2.20597205130123,0.043,0.184,2.50399154768903e-15
"67","chr11-34279944-34280932",2.83393403554433e-20,-1.92888993821268,0.059,0.211,8.42361386659233e-15
"68","chr16-84271850-84272510",4.77289635442457e-20,-2.11315155860871,0.044,0.183,1.41870048528551e-14
"69","chr11-128098788-128099665",1.13930421606308e-19,-2.50813667551238,0.028,0.14,3.38647924486807e-14
"70","chr7-5282495-5283959",1.36811132376389e-19,-1.90971579411282,0.065,0.211,4.06658777986902e-14
"71","chr5-68266587-68267550",1.5499103786543e-19,-1.86416806187807,0.068,0.21,4.60696910861583e-14
"72","chr6-108002404-108003292",1.58972478381477e-19,-2.64196324434853,0.024,0.135,4.72531384465887e-14
"73","chr1-223780786-223781587",2.1321266466788e-19,-1.92807693289692,0.059,0.214,6.33755456585452e-14
"74","chr1-77726917-77727579",2.17941530730595e-19,-3.09352704165194,0.014,0.115,6.47811585358927e-14
"75","chr6-56664019-56664734",2.482851781498e-19,-2.15383599051173,0.041,0.176,7.38005346384246e-14
"76","chr3-47890118-47892654",2.66907369708875e-19,-1.5444113454533,0.119,0.314,7.93358134796357e-14
"77","chr20-24381532-24383167",2.78461906176674e-19,-2.05737961561655,0.052,0.204,8.27702954538608e-14
"78","chr17-2853029-2854952",3.3340917922879e-19,-2.02736728285986,0.062,0.219,9.91028778431448e-14
"79","chr14-77007826-77009024",7.46186553382482e-19,-1.7012388421773,0.099,0.276,2.21797237313962e-13
"80","chr11-126129744-126130686",1.45548754900166e-18,-1.74842398828743,0.087,0.263,4.32630574552802e-13
"81","chr14-77923330-77924012",1.74244306578603e-18,-2.15255821917947,0.042,0.179,5.17925519317305e-13
"82","chr20-24963820-24965662",1.85338783958243e-18,-1.83337395114086,0.072,0.235,5.50902854825321e-13
"83","chr1-89990942-89991829",2.20843176362209e-18,-1.46822745802357,0.134,0.316,6.56436465850795e-13
"84","chr12-3199559-3201014",3.27683415660511e-18,-1.42000052760401,0.156,0.353,9.74009461543458e-13
"85","chr11-37040906-37041543",3.80133039118403e-18,-2.76446998230092,0.021,0.122,1.12991124680593e-12
"86","chr11-115548446-115549766",4.37958205377405e-18,0.575789838047156,0.366,0.256,1.30179134924585e-12
"87","chr3-11991380-11992199",5.33815306987464e-18,-1.79821648902645,0.065,0.205,1.58671795664261e-12
"88","chr17-42919855-42921247",5.481172629173e-18,-2.65085473721076,0.019,0.115,1.62922923346801e-12
"89","chr11-35373279-35374043",6.28570089861652e-18,-2.33629395825568,0.027,0.128,1.86836802080567e-12
"90","chr6-143124194-143124992",1.39554282831861e-17,2.18795295857785,0.102,0.023,4.14812545832251e-12
"91","chr5-67379096-67379488",1.85444826314302e-17,-2.35991806560114,0.027,0.127,5.51218056184894e-12
"92","chr1-223782921-223784057",2.48923430165829e-17,-2.36477758343333,0.029,0.132,7.39902493059211e-12
"93","chr10-69480938-69481672",4.37761337326957e-17,-2.59308681691458,0.018,0.106,1.30120617668402e-11
"94","chr18-48529822-48531144",4.60602516857035e-17,-2.42708777715097,0.025,0.127,1.36909952713102e-11
"95","chr8-125429092-125431310",6.34295930134581e-17,-0.991815659100246,0.387,0.642,1.88538756569133e-11
"96","chr2-30706033-30707296",7.07450062255933e-17,-1.57811343475771,0.101,0.266,2.10283163955016e-11
"97","chr9-14452570-14453626",9.30591310893882e-17,-1.94332564410571,0.047,0.173,2.76609891841409e-11
"98","chr18-61333174-61334711",9.69649731928803e-17,-1.8498892859293,0.066,0.215,2.88219655968249e-11
"99","chr10-27197693-27198960",1.17386787463947e-16,-1.97026581032845,0.048,0.174,3.4892166092571e-11
"100","chr6-161747485-161748090",1.48625583309934e-16,-2.35412704923081,0.024,0.122,4.4177617008628e-11
"101","chr6-105728592-105729297",1.55703427340561e-16,-2.20636867988599,0.035,0.152,4.62814424461356e-11
"102","chr1-115706612-115707568",1.62979574739404e-16,-2.45384182611965,0.023,0.118,4.84442117751151e-11
"103","chr3-195714328-195715492",1.87222343083434e-16,-1.03588531244931,0.34,0.534,5.56501564804629e-11
"104","chr15-60552592-60553611",2.00646606669062e-16,-2.37384089704873,0.028,0.131,5.96403980129185e-11
"105","chr7-5239924-5241448",2.41579015020874e-16,-1.45740295399832,0.124,0.289,7.18071880038196e-11
"106","chr12-14972494-14973146",3.13148294131464e-16,-2.09137890588098,0.041,0.165,9.30805120959305e-11
"107","chr8-54124051-54124627",3.43448155156617e-16,-2.6473414715331,0.018,0.108,1.02086873086908e-10
"108","chr16-51757560-51758168",3.94573174544169e-16,-1.74577346857321,0.07,0.205,1.17283324974683e-10
"109","chr11-34189368-34190055",4.23941584162525e-16,-2.19013761006796,0.036,0.145,1.26012820418053e-10
"110","chr11-7593443-7594152",4.88140412715636e-16,-2.59140099538587,0.019,0.105,1.45095344416008e-10
"111","chr5-135465798-135467323",5.30399207197608e-16,-1.72218352245535,0.091,0.263,1.57656390746624e-10
"112","chr12-51863015-51865168",5.31602075796575e-16,-1.65603586027276,0.083,0.23,1.5801393261185e-10
"113","chr11-70552148-70553543",9.62998576114813e-16,-1.75521934242952,0.073,0.239,2.86242659762943e-10
"114","chr3-108403707-108404823",1.25737212719225e-15,-1.60697111821363,0.087,0.239,3.73742548458751e-10
"115","chr1-204150845-204152708",1.28793899654933e-15,-1.25038998280781,0.204,0.423,3.82828275273318e-10
"116","chr5-30197427-30198217",1.52969678328295e-15,1.19196504582573,0.171,0.069,4.54688601559808e-10
"117","chr13-52848056-52849881",1.66392422635101e-15,-1.4898662769721,0.12,0.279,4.94586500964802e-10
"118","chr4-156523275-156524483",2.04406209330323e-15,-2.05299082097021,0.043,0.166,6.07579060675546e-10
"119","chr12-75930613-75931733",2.34291383984822e-15,-2.2292501987726,0.037,0.157,6.96410052670326e-10
"120","chr15-92634262-92635531",2.50845363850527e-15,-1.80382228172904,0.06,0.18,7.45615267962944e-10
"121","chr1-35982633-35983479",2.58543923097081e-15,-2.35862330445283,0.025,0.126,7.68498542452994e-10
"122","chr7-150977458-150979681",2.59920148337977e-15,-1.01298843983724,0.319,0.538,7.72589248121286e-10
"123","chr17-6172251-6173050",2.62905051436736e-15,-1.85704633898576,0.066,0.214,7.81461603941067e-10
"124","chr11-120746801-120748530",2.66860653672787e-15,-1.19600566870406,0.221,0.41,7.9321927558353e-10
"125","chr1-112040876-112042000",2.76758850389526e-15,-1.52852947028956,0.102,0.271,8.22640774486331e-10
"126","chr7-150931077-150932024",3.3955421023199e-15,-1.86858826604504,0.061,0.204,1.00929433003567e-09
"127","chr17-19578229-19578846",3.5849716921651e-15,-2.9092540254093,0.014,0.104,1.06560057075085e-09
"128","chr5-7385616-7386747",3.58532794224663e-15,-2.4018660162958,0.022,0.106,1.06570646288133e-09
"129","chr8-72536164-72538238",3.71070884072139e-15,-1.15514788775454,0.262,0.482,1.10297480652487e-09
"130","chr6-136113429-136114500",3.75776337249406e-15,-2.68967549258574,0.017,0.102,1.11696134260351e-09
"131","chr1-159169056-159169510",4.23202203913345e-15,-1.53713741669873,0.078,0.213,1.25793046293407e-09
"132","chr8-64579741-64581909",4.33605876754557e-15,-1.41368134892776,0.145,0.336,1.28885444412401e-09
"133","chr7-100393674-100394660",4.37474317188768e-15,-2.05159905241379,0.041,0.157,1.30035303515507e-09
"134","chr6-89310686-89312482",4.68621235519397e-15,-1.30764982657604,0.159,0.341,1.39293444667021e-09
"135","chr22-17406291-17406990",5.1187823077749e-15,-2.41958557895563,0.022,0.121,1.52151197194532e-09
"136","chr7-1713484-1714263",6.09639195969362e-15,-2.15787151557753,0.03,0.128,1.81209764249129e-09
"137","chr11-4083956-4084881",6.14867224434159e-15,-2.62788304693659,0.018,0.117,1.82763748658034e-09
"138","chr4-182910792-182912133",6.86847459757414e-15,-2.40209687689015,0.022,0.104,2.04159225785753e-09
"139","chr6-56692672-56693645",7.17804857493815e-15,-1.85722943914805,0.056,0.184,2.13361033646319e-09
"140","chr12-4311101-4312310",7.78187246720362e-15,-2.01090371052881,0.04,0.153,2.31309155402407e-09
"141","chr18-61367476-61368345",8.73198295084043e-15,-1.81196955535727,0.054,0.185,2.59550334429076e-09
"142","chr10-78846185-78847618",8.84095755323127e-15,-2.2365624533127,0.031,0.139,2.62789506408002e-09
"143","chr13-76884177-76886932",9.36576780979888e-15,-1.30439590008627,0.189,0.396,2.78389018955243e-09
"144","chr17-33042149-33042571",9.37359587139872e-15,-2.47068631958415,0.021,0.112,2.78621701041043e-09
"145","chr14-60507356-60508343",9.37680029946121e-15,-2.00206719363547,0.039,0.147,2.78716949781215e-09
"146","chr1-117017082-117018046",9.98145385228722e-15,-2.65007938281793,0.018,0.105,2.96689732450771e-09
"147","chr18-61154674-61155538",1.15915658350783e-14,-2.30885362729051,0.029,0.136,3.44548862038451e-09
"148","chr11-30532599-30533108",1.25180433195474e-14,-2.41066782846613,0.023,0.119,3.72087571434559e-09
"149","chr12-51846379-51849638",1.44520758500048e-14,-1.22232159960583,0.194,0.393,4.29574947773126e-09
"150","chr19-7738999-7739642",1.97873214173728e-14,-2.37819619281889,0.025,0.109,5.88160320542131e-09
"151","chr12-49978861-49979600",2.02018289603694e-14,-1.65550635745667,0.073,0.206,6.00481184200916e-09
"152","chr1-37033640-37034992",2.15716342140863e-14,-1.73880336112564,0.069,0.205,6.41197412542923e-09
"153","chr18-3449269-3450828",3.15189650238441e-14,-1.56565780995292,0.088,0.226,9.36872868265244e-09
"154","chr2-130836435-130837436",3.49524649819804e-14,-2.10342430900297,0.036,0.148,1.03893056437088e-08
"155","chr20-60631303-60632186",3.55293569831295e-14,1.23609191356493,0.15,0.069,1.05607815990224e-08
"156","chr12-51868785-51869971",4.42523974435575e-14,-1.84769780109338,0.056,0.184,1.31536268685205e-08
"157","chr10-98061732-98063272",4.54656402961539e-14,-2.03565743492454,0.045,0.162,1.35142523872691e-08
"158","chr8-114783768-114784415",5.4348977438021e-14,-2.19581654605915,0.029,0.125,1.61547444026548e-08
"159","chr5-84382167-84385130",5.47845189645381e-14,-1.48819253771186,0.118,0.288,1.62842052015383e-08
"160","chr15-53536490-53537263",5.48575415723551e-14,-2.08437916328225,0.034,0.135,1.63059105145084e-08
"161","chr9-121259203-121260177",5.81980726573451e-14,-2.04325140020872,0.04,0.157,1.72988533147419e-08
"162","chr16-51440046-51441097",6.30266641335027e-14,-2.40711669350527,0.021,0.109,1.87341086737065e-08
"163","chr9-37574500-37576654",6.69791515088412e-14,-1.24148361285709,0.182,0.366,1.99089499736395e-08
"164","chr9-132054949-132056352",6.93255686192913e-14,-1.95597029463082,0.038,0.14,2.06064013419668e-08
"165","chr13-112902821-112904820",7.96095538463281e-14,-1.27795053027955,0.175,0.354,2.36632233948364e-08
"166","chr9-105456004-105456387",8.10862821884036e-14,-2.32307701805062,0.022,0.102,2.41021676039633e-08
"167","chr8-53732734-53733624",8.62544804977905e-14,-1.71129778709219,0.059,0.176,2.56383680376438e-08
"168","chr2-74291882-74292640",8.6826934271774e-14,-1.77010009720194,0.057,0.184,2.58085247698764e-08
"169","chr9-126722139-126724136",9.19123212846823e-14,-1.89739296186187,0.051,0.175,2.73201102909803e-08
"170","chr9-126676391-126677212",9.91082580762457e-14,-1.6256808530248,0.076,0.218,2.94590377388414e-08
"171","chr20-8027385-8027854",1.07884254905366e-13,-2.37745502504745,0.022,0.109,3.2067623812326e-08
"172","chr11-10331373-10332090",1.30893099314297e-13,-2.2356809419709,0.029,0.132,3.89067957332809e-08
"173","chr1-109612583-109613535",1.36010642551095e-13,-1.90534051412001,0.043,0.139,4.04279394025302e-08
"174","chr1-25618926-25619547",1.36310554682874e-13,-2.03869686746664,0.038,0.141,4.05170855844923e-08
"175","chr1-26181278-26182528",1.3941733831925e-13,-1.74598006900367,0.056,0.174,4.14405490593522e-08
"176","chr1-12510126-12511214",1.6174192629434e-13,-1.61535136279708,0.075,0.213,4.80763319136558e-08
"177","chr3-66194845-66195724",2.3611416096861e-13,1.01151701037031,0.138,0.073,7.01828093204707e-08
"178","chr17-2955835-2956453",2.68809160987759e-13,-2.18555256307557,0.03,0.123,7.99011038211626e-08
"179","chr8-126517424-126519225",3.66006093198097e-13,-1.30478217155688,0.138,0.305,1.08792017148295e-07
"180","chr16-19541925-19542497",3.82710332277459e-13,-2.2432444679519,0.024,0.101,1.13757201876484e-07
"181","chr4-109954792-109955738",4.88382748189037e-13,-1.49791697056647,0.1,0.254,1.45167376454457e-07
"182","chr17-36919843-36921783",4.93251931805507e-13,-1.14300768807025,0.201,0.374,1.46614697461801e-07
"183","chr20-24296447-24298355",4.98679738267098e-13,-1.36031741115402,0.108,0.25,1.48228064082251e-07
"184","chr8-11641730-11643117",5.13504373977188e-13,-2.10924093567942,0.037,0.149,1.52634553625353e-07
"185","chr1-12617913-12620132",5.49472126944228e-13,-1.34270024310934,0.139,0.298,1.63325644485029e-07
"186","chr13-99053514-99054097",6.23145832993827e-13,-1.93750248200078,0.043,0.154,1.85224490544918e-07
"187","chr3-62831812-62832487",6.30065997146345e-13,-2.1244560830197,0.027,0.114,1.87281447057777e-07
"188","chr3-192916468-192918374",6.83306074063258e-13,-1.44771514451691,0.113,0.274,2.03106580760637e-07
"189","chr3-179973718-179974376",6.97005493035069e-13,-1.63126102710375,0.066,0.205,2.07178609755237e-07
"190","chr12-112105648-112106238",7.07011819719944e-13,-1.90420702440738,0.043,0.145,2.10152900305376e-07
"191","chr14-49051526-49053151",7.09272417812497e-13,-1.84636472854852,0.055,0.176,2.10824842743005e-07
"192","chr1-46464032-46464440",7.86567792205347e-13,-1.66774664696741,0.069,0.205,2.3380019712291e-07
"193","chr7-150937793-150938562",8.28048879897486e-13,-1.32170587043575,0.127,0.283,2.46130077109609e-07
"194","chr8-86063213-86064506",8.87213647168821e-13,-1.68663393804558,0.059,0.178,2.63716271698108e-07
"195","chr6-33254647-33255854",8.88558508904408e-13,1.43397154699037,0.107,0.043,2.64116019745255e-07
"196","chr13-93496668-93497636",9.00548668391147e-13,-2.14254083964584,0.028,0.117,2.67679986741253e-07
"197","chr8-125171205-125172330",1.01088965237957e-12,-1.50183310886016,0.091,0.226,3.00477851162956e-07
"198","chr9-4713873-4715024",1.04178317578294e-12,-2.32024891411926,0.025,0.117,3.09660672952897e-07
"199","chr5-155485237-155485968",1.12622811135554e-12,-2.26279228837994,0.023,0.105,3.34761170047431e-07
"200","chr7-102023967-102025353",1.14221955225595e-12,-2.42253402072107,0.022,0.1,3.39514481932109e-07
"201","chr14-60355884-60357424",1.22864545563062e-12,-1.23918563243403,0.141,0.291,3.65203803877101e-07
"202","chr12-4331171-4331550",1.23741188608298e-12,-2.26410969080572,0.022,0.101,3.67809546431192e-07
"203","chr5-135643329-135644207",1.36962141324194e-12,-1.85106512223147,0.043,0.148,4.07107638493449e-07
"204","chr15-47740844-47741559",1.50773989826214e-12,-2.2048607559596,0.024,0.106,4.48162115099336e-07
"205","chr7-97479549-97481203",1.58157577777337e-12,-2.10551588455757,0.038,0.144,4.70109165761135e-07
"206","chr1-180358125-180359167",1.67633372894239e-12,-1.26157264818853,0.147,0.302,4.98275113924563e-07
"207","chr11-75633397-75634127",1.74801440779455e-12,-1.9018358905311,0.041,0.144,5.19581550587259e-07
"208","chr8-54618692-54619213",1.77994470232532e-12,0.669243435500403,0.209,0.134,5.29072543263881e-07
"209","chr17-19995854-19996888",1.83404543571622e-12,-1.75632338939801,0.057,0.175,5.45153499357724e-07
"210","chr2-233307118-233308031",1.88028913240403e-12,0.77061443448569,0.206,0.122,5.58899022004907e-07
"211","chr12-7904480-7905762",1.893390529305e-12,-2.18976605019844,0.026,0.118,5.62793294321147e-07
"212","chr3-180179732-180180638",2.04269981606289e-12,-2.38081921549575,0.021,0.105,6.0717413602635e-07
"213","chr12-125184359-125184894",2.05192417638043e-12,-1.92725635275811,0.043,0.143,6.09915994111495e-07
"214","chr4-78901993-78902775",2.26740771739159e-12,-1.52920416877855,0.065,0.17,6.73966537325193e-07
"215","chr18-61892772-61894657",2.34068783750373e-12,-1.57258504068184,0.079,0.213,6.95748393507448e-07
"216","chr1-154417984-154418656",2.7137706019397e-12,-1.82853612433349,0.043,0.137,8.0664388749116e-07
"217","chr1-109611046-109612257",3.0283767863399e-12,-1.21083149179175,0.159,0.324,9.00157744348459e-07
"218","chr6-111685661-111687010",3.31889112819431e-12,-1.63965859128316,0.062,0.187,9.86510517835606e-07
"219","chr15-63044576-63045089",3.9000532088834e-12,0.696453737081283,0.208,0.131,1.15925571586171e-06
"220","chr2-29789830-29790498",4.22830469733638e-12,-2.42557415009445,0.022,0.11,1.25682551654096e-06
"221","chrX-97563141-97565444",4.96293055003641e-12,-2.16985403298817,0.024,0.104,1.47518643962337e-06
"222","chr1-26980744-26981674",5.13915794332324e-12,-1.79822724535823,0.043,0.15,1.52756844623134e-06
"223","chr2-133434673-133435644",5.62623726807664e-12,-1.77859177879281,0.05,0.154,1.67234839180037e-06
"224","chr2-133604580-133605931",5.7143094653541e-12,-1.75621039099876,0.055,0.179,1.69852705979132e-06
"225","chr3-42476195-42477401",5.85869005312369e-12,-1.9918945247777,0.033,0.114,1.74144289008054e-06
"226","chr10-5512981-5514973",5.95724749459338e-12,-1.37957428104777,0.125,0.297,1.77073820254043e-06
"227","chr15-37076652-37078262",6.54151599793134e-12,-1.60368394142801,0.074,0.195,1.94440675674111e-06
"228","chr3-193583909-193584357",6.64677599913032e-12,-1.68036294642635,0.055,0.162,1.9756943447575e-06
"229","chr1-2642225-2643611",6.81359198872484e-12,0.506097921910269,0.244,0.182,2.02527889632056e-06
"230","chrX-13937407-13939656",6.84183605590094e-12,-1.13762064148689,0.183,0.336,2.03367419109205e-06
"231","chr6-91366328-91367221",7.18210352982204e-12,-2.26829758290817,0.023,0.105,2.13481563530783e-06
"232","chr13-52850346-52851909",7.66920150163483e-12,-1.65247016966404,0.069,0.195,2.27960112354744e-06
"233","chr9-121267467-121269227",8.05411768116828e-12,-1.52067338765331,0.088,0.227,2.39401399366814e-06
"234","chr2-220508999-220510330",8.12682801154696e-12,-2.2948260530959,0.021,0.101,2.41562648498023e-06
"235","chr12-125185273-125186827",8.67436090524984e-12,-1.17180213456193,0.18,0.34,2.57837570983737e-06
"236","chr5-3394468-3395565",8.85050795689505e-12,-2.09572274111273,0.025,0.105,2.63073383561544e-06
"237","chr22-37320978-37321327",9.13410183306877e-12,-2.16413508654177,0.028,0.112,2.71502956296319e-06
"238","chr9-88533971-88535790",1.11865169810688e-11,-1.21668384677786,0.148,0.32,3.32509149396989e-06
"239","chr17-81324664-81325621",1.17511619161103e-11,-1.44893615632672,0.101,0.256,3.49292711910653e-06
"240","chr12-116532977-116534782",1.20114756631218e-11,-1.5709693825972,0.076,0.211,3.570303037582e-06
"241","chr22-47398255-47399397",1.22076982202312e-11,-1.68628630133497,0.069,0.209,3.62862842667973e-06
"242","chr5-160287018-160288120",1.34104088819604e-11,-1.35642517858723,0.104,0.245,3.9861233464828e-06
"243","chr1-36764346-36765326",1.42537196974615e-11,-1.91314436538758,0.039,0.139,4.23678989659317e-06
"244","chr15-60702761-60703768",1.5763176872967e-11,-1.24316516736234,0.134,0.306,4.68546245689757e-06
"245","chr14-104878498-104879760",1.6420494856465e-11,0.288496953727499,0.349,0.296,4.88084431163052e-06
"246","chr5-143019377-143020470",1.74038178502083e-11,-1.23585205244627,0.134,0.266,5.17312822161376e-06
"247","chr19-21081447-21082673",1.76783925136814e-11,0.59143582063711,0.208,0.144,5.25474306915919e-06
"248","chr20-59123500-59125054",1.88307306086613e-11,-1.92348140293372,0.039,0.141,5.5972651968491e-06
"249","chr12-3315063-3315694",2.03969981747618e-11,-2.00549766256238,0.033,0.119,6.06282413446436e-06
"250","chr10-21065507-21066151",2.04878082753767e-11,0.553000855311509,0.25,0.167,6.08981661958124e-06
"251","chr17-37273195-37273948",2.05554579714781e-11,-1.48376748602015,0.089,0.232,6.10992488290013e-06
"252","chr15-92650210-92650591",2.05586241903923e-11,-1.94857460906046,0.03,0.117,6.11086601297638e-06
"253","chr16-53098700-53100222",2.10683319131134e-11,0.675910011437412,0.178,0.115,6.26237204618574e-06
"254","chr10-35890331-35891336",2.13365476516941e-11,-1.89011100664466,0.032,0.113,6.3420967605372e-06
"255","chr2-120344799-120347229",2.23738359820582e-11,-1.0866883661417,0.227,0.416,6.65042138114297e-06
"256","chr14-76375626-76376402",2.27795026329244e-11,1.14637365920064,0.121,0.056,6.77100214211309e-06
"257","chr8-119643612-119644389",2.35725799747013e-11,-1.85063971004642,0.033,0.115,7.00673724426019e-06
"258","chr9-18437142-18438107",2.36286096678918e-11,-2.51514602408616,0.02,0.101,7.02339156629382e-06
